D_TRADE,N_SECURITY,OPEN_PRC,CLOSE_PRC,LOW_PRC,HIGH_PRC,DVD_YIELD,BOOK_VALUE,PB_RATIO,PE_RATIO,Q_VOLUME,MKT_CAP,ADJUST_FACTOR,TURNOVER,I_MARKET,I_INDUSTRY,I_SECTOR,SENTIMENT_AVG,SENTIMENT_SUM,Baro_Index,Fundamental_Score,Technic_Score,Quant_Score,Total_score,Rank,SET_CLOSE,SET50_CLOSE,SET100_CLOSE,SECTOR_OPEN,SECTOR_CLOSE,SECTOR_LOW,SECTOR_HIGH,SECTOR_YIELD,SECTOR_TURNOVER,SECTOR_MKT_YIELD,SECTOR_MKT_PE,SECTOR_MKT_CAP,SECTOR_MKT_PBV,ORD_IMB,ORD_IMB_R,Q_SHORT,A_SHORT,EBIT,DEPRE,CASH,SH_INV,DEBT,M_NVDR_BUY,M_NVDR_SELL,Q_NVDR_BUY,Q_NVDR_SELL,OPEN_INTEREST,F_Q_VOLUME,NET_SBL_VALUE,TOTAL_NOMINAL_SSF,TOTAL_VALUE_DW_STOCK50_CALL,TOTAL_VALUE_DW_STOCK50_PUT,TOTAL_VALUE_DW_SET50_CALL,TOTAL_VALUE_DW_SET50_PUT,TOP15_NET_NVDR_VALUE,NET_VOLUME_CONTRACTS_SET50_BY_FOREIGN,NET_VALUE_STOCK_BY_FOREIGN
2025-06-17 00:00:00.000,"WHAUP               ",3.22,3.24,3.18,3.26,7.78999996185303,3.59,0.9,14.21,2389800,12393000000,1,0.0599999986588955,A,6,9,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,15277.78,15128.54,15073.65,15319.08,5.02,289655359,5.02,12.43,2798519459525.21,0.91,NULL,NULL,20900,67608,NULL,NULL,NULL,NULL,NULL,1283472,152725.04,396800,47494,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WHART               ",9,9,8.95,9.05,7.92999982833862,10.64,0.85,NULL,151700,31219446969,1,0,A,5,33,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,118.02,117.83,117.67,118.13,6.88,10016965,6.88,0.00,270280977990.48,0.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WHAIR               ",5.05,5.05,4.98,5.05,9.97999954223633,8.55,0.59,NULL,48000,5346970885.8,1,0,A,5,33,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,118.02,117.83,117.67,118.13,6.88,10016965,6.88,0.00,270280977990.48,0.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WHABT               ",6.8,6.75,6.7,6.8,9.63000011444092,11.44,0.59,NULL,1800,1363500000,1,0,A,5,33,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,118.02,117.83,117.67,118.13,6.88,10016965,6.88,0.00,270280977990.48,0.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WHA                 ",3,3.04,2.98,3.08,6.26999998092651,2.45,1.24,8.96,60972700,45438377424.16,1,0.409999996423721,A,5,25,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,132.54,133.45,132.43,134.56,5.83,277458636,5.83,10.21,612263218063.69,0.65,NULL,NULL,2001800,6082706,NULL,NULL,NULL,NULL,NULL,87098378.26,34794682,28730500,11463200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WGE                 ",0.74,0.73,0.71,0.75,0,0.66,1.11,6.08,183500,438000000,1,0.0299999993294477,A,5,35,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,30.04,30.30,30.01,30.42,1.78,18987081,1.78,0.00,70766086728.62,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18342,NULL,25400,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WFX                 ",0.76,0.77,0.76,0.78,0,3.79,0.2,0,42200,357434000,1,0.00999999977648258,A,2,27,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,521.15,527.14,518.19,529.22,3.77,1992936,3.77,14.85,50327081080.68,0.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,152,NULL,200,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WELL                ",0,0,0,0,NULL,0.47,NULL,NULL,0,NULL,1,NULL,S,60,68,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WAVE                ",0.03,0.03,0.02,0.03,0,0.04,0.7,0,2141000,343690269.87,1,0.0199999995529652,A,7,24,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,158.15,156.04,155.75,159.70,3.34,7801497,3.34,35.14,18984908087.96,1.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10038,NULL,334600,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
2025-06-17 00:00:00.000,"WARRIX              ",2.08,2.14,2.02,2.14,10.3100004196167,2.5,0.86,9.68,477000,1284000000,1,0.0799999982118607,S,57,65,NULL,NULL,58.4,NULL,NULL,NULL,NULL,NULL,1113.58,724.09,1546.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34478,76774,16400,37200,1391653168,12603086790,226998389,72633583,439146506,956128166,1072047287.15,433,-611232437.210001,0,0
