ReportingDate,user_id,Instrument,Amount,BuySell,Price,QuotedValue
2025-06-04 00:00:00.000,116999,"CPF                 ",1800.000000,Buy,25.708439,-45000.00
2025-06-04 00:00:00.000,116999,"HANA                ",2700.000000,Buy,17.949211,-48060.00
2025-06-04 00:00:00.000,116999,"PRM                 ",8200.000000,Buy,5.665538,-47150.00
2025-06-04 00:00:00.000,116999,"STECON              ",6800.000000,Buy,7.420349,-50320.00
2025-06-04 00:00:00.000,116999,"TVO                 ",2000.000000,Buy,22.393920,-43400.00
2025-06-04 00:00:00.000,116999,"WHA                 ",15800.000000,Buy,3.145461,-49612.00
2025-06-04 00:00:00.000,117999,"BTG                 ",2000.000000,Buy,24.273020,-45600.00
2025-06-04 00:00:00.000,117999,"COM7                ",2400.000000,Buy,21.157913,-45120.00
2025-06-04 00:00:00.000,117999,"CPF                 ",1800.000000,Buy,25.708439,-45000.00
2025-06-04 00:00:00.000,117999,"HANA                ",2700.000000,Buy,18.149759,-48060.00
2025-06-04 00:00:00.000,117999,"PRM                 ",8200.000000,Buy,5.693638,-47150.00
2025-06-04 00:00:00.000,117999,"STECON              ",6800.000000,Buy,7.420349,-50320.00
2025-06-04 00:00:00.000,117999,"TVO                 ",2000.000000,Buy,22.401445,-43400.00
2025-06-04 00:00:00.000,117999,"WHA                 ",15800.000000,Buy,3.128580,-49612.00
2025-06-04 00:00:00.000,118999,"BTG                 ",2000.000000,Buy,24.017480,-45600.00
2025-06-04 00:00:00.000,118999,"COM7                ",2400.000000,Buy,21.057633,-45120.00
2025-06-04 00:00:00.000,118999,"CPF                 ",1800.000000,Buy,25.728894,-45000.00
2025-06-04 00:00:00.000,118999,"HANA                ",2700.000000,Buy,18.049507,-48060.00
2025-06-04 00:00:00.000,118999,"PRM                 ",8200.000000,Buy,5.620911,-47150.00
2025-06-04 00:00:00.000,118999,"STECON              ",6800.000000,Buy,7.460162,-50320.00
2025-06-04 00:00:00.000,118999,"TVO                 ",2000.000000,Buy,22.446560,-43400.00
2025-06-04 00:00:00.000,118999,"WHA                 ",15900.000000,Buy,3.128580,-49926.00
2025-06-04 00:00:00.000,119999,"BTG                 ",2000.000000,Buy,24.567370,-45600.00
2025-06-04 00:00:00.000,119999,"COM7                ",2400.000000,Buy,21.158029,-45120.00
2025-06-04 00:00:00.000,119999,"CPF                 ",1800.000000,Buy,25.570111,-45000.00
2025-06-04 00:00:00.000,119999,"HANA                ",2700.000000,Buy,18.149752,-48060.00
2025-06-04 00:00:00.000,119999,"PRM                 ",8100.000000,Buy,5.642649,-46575.00
2025-06-04 00:00:00.000,119999,"STECON              ",6800.000000,Buy,7.553066,-50320.00
2025-06-04 00:00:00.000,119999,"TVO                 ",2000.000000,Buy,22.371350,-43400.00
2025-06-04 00:00:00.000,119999,"WHA                 ",15800.000000,Buy,3.141273,-49612.00
2025-06-04 00:00:00.000,120999,"BTG                 ",3600.000000,Buy,24.230692,-82080.00
2025-06-04 00:00:00.000,120999,"COM7                ",4400.000000,Buy,21.258293,-82720.00
2025-06-04 00:00:00.000,120999,"CPF                 ",3300.000000,Buy,25.716761,-82500.00
2025-06-04 00:00:00.000,120999,"HANA                ",4800.000000,Buy,18.149760,-85440.00
2025-06-04 00:00:00.000,120999,"PRM                 ",14700.000000,Buy,5.681129,-84525.00
2025-06-04 00:00:00.000,120999,"STECON              ",12200.000000,Buy,7.537474,-90280.00
2025-06-04 00:00:00.000,120999,"TVO                 ",3600.000000,Buy,22.468833,-78120.00
2025-06-04 00:00:00.000,120999,"WHA                 ",28400.000000,Buy,3.138536,-89176.00
2025-06-04 00:00:00.000,121999,"BTG                 ",2800.000000,Buy,24.215239,-63840.00
2025-06-04 00:00:00.000,121999,"COM7                ",3300.000000,Buy,21.157967,-62040.00
2025-06-04 00:00:00.000,121999,"CPF                 ",2500.000000,Buy,25.686304,-62500.00
2025-06-04 00:00:00.000,121999,"HANA                ",3700.000000,Buy,18.149759,-65860.00
2025-06-04 00:00:00.000,121999,"PRM                 ",11300.000000,Buy,5.686230,-64975.00
2025-06-04 00:00:00.000,121999,"STECON              ",9400.000000,Buy,7.370211,-69560.00
2025-06-04 00:00:00.000,121999,"TVO                 ",2800.000000,Buy,22.398289,-60760.00
2025-06-04 00:00:00.000,121999,"WHA                 ",21900.000000,Buy,3.139203,-68766.00
2025-06-04 00:00:00.000,122999,"BTG                 ",4100.000000,Buy,24.232583,-93480.00
2025-06-04 00:00:00.000,122999,"COM7                ",4800.000000,Buy,21.258206,-90240.00
2025-06-04 00:00:00.000,122999,"CPF                 ",3700.000000,Buy,25.735832,-92500.00
2025-06-04 00:00:00.000,122999,"HANA                ",5300.000000,Buy,18.250040,-94340.00
2025-06-04 00:00:00.000,122999,"PRM                 ",16300.000000,Buy,5.654518,-93725.00
2025-06-04 00:00:00.000,122999,"STECON              ",13600.000000,Buy,7.490395,-100640.00
2025-06-04 00:00:00.000,122999,"TVO                 ",4000.000000,Buy,22.454080,-86800.00
2025-06-04 00:00:00.000,122999,"WHA                 ",31600.000000,Buy,3.133150,-99224.00
2025-06-04 00:00:00.000,125999,"BTG                 ",2000.000000,Buy,24.091880,-45600.00
2025-06-04 00:00:00.000,125999,"COM7                ",2400.000000,Buy,21.157929,-45120.00
2025-06-04 00:00:00.000,125999,"CPF                 ",1800.000000,Buy,25.728894,-45000.00
2025-06-04 00:00:00.000,125999,"HANA                ",2700.000000,Buy,18.049504,-48060.00
2025-06-04 00:00:00.000,125999,"PRM                 ",8200.000000,Buy,5.615400,-47150.00
2025-06-04 00:00:00.000,125999,"STECON              ",6900.000000,Buy,7.381838,-51060.00
